Age,BMI,Pregnancy Age,Family History,Radiation Exposure,Birth Control,Menstrual Cycle Age,Last Menstrual Cycle Age,Hormone Therapy,Alcohol Consumption,Inherited Gene,Previous History,Hormonal,Dense Breast Tissue,Risk,Consequent,agg,pregage,lm,mc,bi
37,18.8,21,Absent,Low,None,10,46,None,Low,Present,Present,Balanced,Present,Low,0.026538338,Middle-aged,Young,Middle-aged,Young,Low
45,34.2,26,Present,High,None,14,40,None,High,Absent,Present,Balanced,Absent,Low,0.014099592,Middle-aged,Young,Middle-aged,Young,High
34,23.4,26,Present,High,Low,12,53,Moderate,Moderate,Present,None,Balanced,Present,Low,0.290436729,Young,Young,Older,Young,Low
24,22.4,30,Present,High,None,14,53,High,None,Present,Present,Imbalanced,Absent,High,0.881271169,Young,Young,Older,Young,Low
54,31.3,37,Absent,Moderate,None,13,43,None,Low,Absent,None,Balanced,Absent,Moderate,0.30310209,Older,Middle-aged,Middle-aged,Young,High
36,33.8,25,Absent,High,High,14,46,None,None,Absent,None,Balanced,Absent,Low,0.281978398,Middle-aged,Young,Middle-aged,Young,High
52,24.2,20,Absent,Low,High,14,41,Moderate,High,Absent,Present,Imbalanced,Absent,High,0.831706483,Older,Young,Middle-aged,Young,Low
20,19.3,29,Absent,Moderate,Moderate,12,52,Low,None,Present,None,Imbalanced,Absent,High,0.866782257,Young,Young,Older,Young,Low
54,25.2,32,Present,Low,Moderate,10,40,None,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.593257898,Older,Young,Middle-aged,Young,Moderate
33,21.1,32,Present,Low,High,10,47,Moderate,Low,Absent,None,Imbalanced,Absent,Moderate,0.310768732,Young,Young,Middle-aged,Young,Low
52,34.8,30,Absent,High,Low,14,45,Moderate,Low,Absent,None,Imbalanced,Present,Moderate,0.346909602,Older,Young,Middle-aged,Young,High
41,32.7,29,Present,High,Low,10,44,High,None,Absent,Present,Balanced,Absent,Low,0.169854712,Middle-aged,Young,Middle-aged,Young,High
27,24.2,36,Present,Low,High,13,53,None,High,Absent,None,Imbalanced,Present,Low,0.192059692,Young,Middle-aged,Older,Young,Low
44,29,30,Present,Low,None,11,50,None,Low,Present,Present,Imbalanced,Absent,Low,0.119923226,Middle-aged,Young,Older,Young,Moderate
57,25.9,20,Absent,Moderate,Moderate,13,46,None,None,Absent,None,Imbalanced,Absent,High,0.968452757,Older,Young,Middle-aged,Young,Moderate
54,29.7,24,Present,Moderate,Moderate,15,40,Low,Low,Absent,Present,Balanced,Present,Low,0.217179583,Older,Young,Middle-aged,Young,Moderate
41,18.9,38,Absent,Moderate,Low,11,55,Low,High,Present,Present,Imbalanced,Present,High,0.966382806,Middle-aged,Middle-aged,Older,Young,Low
26,19.3,35,Absent,Low,Moderate,11,50,Low,Moderate,Present,None,Imbalanced,Present,Moderate,0.571817413,Young,Middle-aged,Older,Young,Low
41,34,20,Absent,Moderate,None,12,55,None,Low,Absent,None,Balanced,Present,Low,0.27293605,Middle-aged,Young,Older,Young,High
43,18.9,34,Present,Low,Low,13,40,Low,None,Absent,None,Balanced,Present,Low,0.280608847,Middle-aged,Young,Middle-aged,Young,Low
33,18.8,30,Present,Low,Low,15,42,Low,High,Absent,None,Imbalanced,Present,Low,0.01010783,Young,Young,Middle-aged,Young,Low
49,32.9,22,Absent,High,Low,14,48,High,High,Absent,None,Imbalanced,Present,High,0.953305587,Middle-aged,Young,Middle-aged,Young,High
60,33.1,33,Absent,Low,None,14,50,Low,Moderate,Absent,None,Balanced,Absent,Low,0.243749021,Older,Young,Older,Young,High
21,23.1,40,Present,High,Moderate,13,46,Low,None,Present,None,Balanced,Present,Low,0.076359486,Young,Middle-aged,Middle-aged,Young,Low
39,34.1,32,Present,High,None,11,46,High,Moderate,Present,None,Imbalanced,Present,High,0.736773907,Middle-aged,Young,Middle-aged,Young,High
40,22.1,34,Absent,High,Low,10,54,High,High,Present,Present,Imbalanced,Present,Low,0.06675116,Middle-aged,Young,Older,Young,Low
55,34.8,36,Absent,Low,Low,10,55,High,Low,Absent,Present,Imbalanced,Present,High,0.848469557,Older,Middle-aged,Older,Young,High
20,29.7,39,Absent,Moderate,None,10,43,Moderate,High,Absent,None,Balanced,Present,High,0.701309188,Young,Middle-aged,Middle-aged,Young,Moderate
53,24.2,30,Present,High,None,11,51,None,High,Present,Present,Imbalanced,Present,Low,0.054052205,Older,Young,Older,Young,Low
23,29.3,25,Present,Moderate,Low,11,46,High,Low,Present,Present,Balanced,Absent,High,0.928976414,Young,Young,Middle-aged,Young,Moderate
54,19.4,39,Absent,Moderate,Moderate,10,44,High,High,Present,Present,Imbalanced,Absent,Moderate,0.400956589,Older,Middle-aged,Middle-aged,Young,Low
54,24.3,21,Absent,High,Moderate,11,51,Low,High,Absent,None,Imbalanced,Present,Low,0.202740769,Older,Young,Older,Young,Low
28,34.4,29,Present,Low,Moderate,10,53,Moderate,Moderate,Present,None,Imbalanced,Absent,High,0.847428971,Young,Young,Older,Young,High
37,31.2,20,Absent,High,Low,14,48,None,Moderate,Absent,None,Balanced,Present,Moderate,0.649050606,Middle-aged,Young,Middle-aged,Young,High
25,33.9,25,Absent,Moderate,None,10,45,Moderate,High,Absent,Present,Imbalanced,Present,High,0.719640415,Young,Young,Middle-aged,Young,High
52,19.3,30,Present,Low,Low,13,55,High,None,Present,Present,Imbalanced,Absent,High,0.959480301,Older,Young,Older,Young,Low
37,23.1,32,Present,High,Moderate,14,53,None,High,Absent,None,Balanced,Present,Low,0.136514933,Middle-aged,Young,Older,Young,Low
25,31.2,27,Present,Moderate,High,13,52,None,Moderate,Absent,Present,Balanced,Present,Low,0.153057982,Young,Young,Older,Young,High
59,34,33,Present,High,None,13,49,None,None,Present,Present,Balanced,Absent,Moderate,0.48289187,Older,Young,Middle-aged,Young,High
29,23.8,23,Present,High,None,14,53,None,None,Absent,Present,Balanced,Present,Low,0.286123756,Young,Young,Older,Young,Low
37,33.6,31,Present,Low,Moderate,15,40,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.615663376,Middle-aged,Young,Middle-aged,Young,High
56,23.1,37,Present,High,High,11,45,Low,None,Absent,Present,Balanced,Absent,Low,0.206765127,Older,Middle-aged,Middle-aged,Young,Low
35,33.8,21,Present,Moderate,High,11,50,Moderate,Low,Present,Present,Balanced,Absent,Moderate,0.4304685,Middle-aged,Young,Older,Young,High
53,29.6,25,Absent,High,High,12,50,Low,Low,Absent,None,Imbalanced,Absent,High,0.92577762,Older,Young,Older,Young,Moderate
29,25,20,Absent,Low,Low,14,48,Low,Moderate,Present,Present,Balanced,Absent,High,0.785335292,Young,Young,Middle-aged,Young,Moderate
48,21.7,38,Absent,Moderate,None,10,44,Low,High,Absent,Present,Balanced,Present,Moderate,0.429537941,Middle-aged,Middle-aged,Middle-aged,Young,Low
46,20.7,32,Absent,Low,Low,10,49,High,Moderate,Present,Present,Balanced,Absent,Moderate,0.368361768,Middle-aged,Young,Middle-aged,Young,Low
52,23.2,34,Absent,Low,Low,13,49,None,None,Absent,Present,Balanced,Absent,High,0.820587152,Older,Young,Middle-aged,Young,Low
32,26.1,27,Absent,Moderate,Low,14,53,High,Low,Present,None,Imbalanced,Present,Moderate,0.454644515,Young,Young,Older,Young,Moderate
29,29.7,24,Present,Moderate,Low,11,40,High,None,Absent,Present,Imbalanced,Present,Moderate,0.434420078,Young,Young,Middle-aged,Young,Moderate
52,27.5,39,Present,Moderate,High,12,49,None,None,Present,None,Balanced,Absent,Low,0.292565115,Older,Middle-aged,Middle-aged,Young,Moderate
39,20.4,25,Present,Low,Moderate,11,45,Moderate,Moderate,Absent,Present,Balanced,Absent,Low,0.117910413,Middle-aged,Young,Middle-aged,Young,Low
29,21.2,22,Absent,Low,High,12,44,None,High,Absent,None,Balanced,Absent,Moderate,0.315341234,Young,Young,Middle-aged,Young,Low
38,28.8,27,Present,Moderate,High,13,42,Moderate,Low,Absent,None,Imbalanced,Absent,High,0.880164485,Middle-aged,Young,Middle-aged,Young,Moderate
45,26.8,22,Present,Low,Moderate,15,43,None,Moderate,Absent,None,Balanced,Present,Moderate,0.335879057,Middle-aged,Young,Middle-aged,Young,Moderate
43,20.4,34,Present,High,High,15,49,High,Low,Present,None,Balanced,Absent,Low,0.239467981,Middle-aged,Young,Middle-aged,Young,Low
35,32.5,33,Absent,Moderate,High,13,50,Low,High,Present,Present,Balanced,Absent,Moderate,0.491213112,Middle-aged,Young,Older,Young,High
33,19,21,Present,High,Moderate,12,47,None,None,Absent,Present,Balanced,Absent,Low,0.21184774,Young,Young,Middle-aged,Young,Low
29,31.6,31,Absent,Moderate,Low,10,49,Low,Low,Present,Present,Imbalanced,Present,Moderate,0.579248706,Young,Young,Middle-aged,Young,High
43,22,29,Present,High,High,14,55,Moderate,Moderate,Absent,Present,Imbalanced,Absent,Moderate,0.68076722,Middle-aged,Young,Older,Young,Low
42,22.3,38,Absent,Moderate,Moderate,10,47,Low,Moderate,Absent,Present,Balanced,Present,Moderate,0.532281988,Middle-aged,Middle-aged,Middle-aged,Young,Low
55,33.4,27,Present,Moderate,Low,14,49,Moderate,None,Absent,None,Balanced,Absent,Moderate,0.347562257,Older,Young,Middle-aged,Young,High
46,20.3,34,Absent,Low,Moderate,10,44,Moderate,Low,Absent,None,Imbalanced,Present,High,0.864843534,Middle-aged,Young,Middle-aged,Young,Low
60,28.5,29,Absent,High,Moderate,15,50,Moderate,High,Present,None,Balanced,Absent,Low,0.045516177,Older,Young,Older,Young,Moderate
42.94969697,26.32878788,28.58,Absent,High,High,12.25393939,48.21090909,None,High,Present,None,Imbalanced,Absent,Low,0.447935108,Young,Young,Middle-aged,Young,High
43.01127513,26.32018962,28.55148515,Present,Low,None,12.2530273,48.2210261,None,Moderate,Absent,None,Balanced,Absent,High,0.447477478,Young,Middle-aged,Middle-aged,Young,High
43.07285329,26.31159136,28.5229703,Present,High,None,12.25211521,48.23114311,None,Low,Absent,None,Balanced,Absent,Moderate,0.447019848,Young,Middle-aged,Middle-aged,Young,Low
43.13443144,26.3029931,28.49445545,Present,High,None,12.25120312,48.24126013,Low,High,Present,None,Balanced,Present,High,0.446562218,Young,Young,Middle-aged,Young,Low
43.1960096,26.29439484,28.46594059,Absent,High,Moderate,12.25029103,48.25137714,None,Moderate,Present,Present,Balanced,Present,Low,0.446104588,Young,Middle-aged,Older,Young,Low
43.25758776,26.28579658,28.43742574,Absent,Low,None,12.24937894,48.26149415,Moderate,Moderate,Present,None,Imbalanced,Present,Low,0.445646958,Middle-aged,Middle-aged,Older,Young,High
43.31916592,26.27719832,28.40891089,Present,Moderate,High,12.24846685,48.27161116,Low,None,Absent,Present,Balanced,Absent,High,0.445189327,Young,Young,Middle-aged,Young,Low
43.38074407,26.26860006,28.38039604,Present,Moderate,Moderate,12.24755476,48.28172817,Moderate,Low,Present,None,Balanced,Absent,High,0.444731697,Older,Young,Middle-aged,Young,Low
43.44232223,26.2600018,28.35188119,Present,Moderate,High,12.24664266,48.29184518,None,High,Absent,None,Balanced,Absent,High,0.444274067,Older,Young,Older,Young,Moderate
43.50390039,26.25140354,28.32336634,Present,High,Low,12.24573057,48.3019622,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.443816437,Young,Young,Middle-aged,Young,Moderate
43.56547855,26.24280528,28.29485149,Present,Moderate,Moderate,12.24481848,48.31207921,Low,Low,Present,None,Imbalanced,Absent,Low,0.443358807,Middle-aged,Middle-aged,Middle-aged,Young,Low
43.62705671,26.23420702,28.26633663,Present,Moderate,None,12.24390639,48.32219622,Moderate,Low,Present,None,Imbalanced,Present,Low,0.442901177,Young,Middle-aged,Middle-aged,Young,Moderate
43.68863486,26.22560876,28.23782178,Absent,High,Moderate,12.2429943,48.33231323,Moderate,Moderate,Present,None,Imbalanced,Absent,Moderate,0.442443547,Young,Young,Middle-aged,Young,Moderate
43.75021302,26.2170105,28.20930693,Present,Low,Moderate,12.24208221,48.34243024,Low,High,Absent,Present,Imbalanced,Present,High,0.441985916,Young,Young,Older,Young,Moderate
43.81179118,26.20841224,28.18079208,Absent,High,Low,12.24117012,48.35254725,High,Moderate,Absent,None,Imbalanced,Present,High,0.441528286,Young,Middle-aged,Middle-aged,Young,Low
43.87336934,26.19981398,28.15227723,Present,Moderate,Low,12.24025803,48.36266427,None,None,Absent,None,Balanced,Present,Moderate,0.441070656,Older,Young,Older,Young,Low
43.93494749,26.19121572,28.12376238,Present,Low,Low,12.23934593,48.37278128,Low,None,Present,Present,Imbalanced,Present,Low,0.440613026,Older,Young,Middle-aged,Young,High
43.99652565,26.18261746,28.09524752,Present,Moderate,None,12.23843384,48.38289829,Low,Low,Present,Present,Balanced,Absent,High,0.440155396,Middle-aged,Middle-aged,Middle-aged,Young,High
44.05810381,26.1740192,28.06673267,Absent,High,High,12.23752175,48.3930153,High,Low,Present,Present,Balanced,Present,Moderate,0.439697766,Young,Young,Middle-aged,Young,High
44.11968197,26.16542094,28.03821782,Absent,High,Moderate,12.23660966,48.40313231,Moderate,None,Absent,None,Imbalanced,Absent,Low,0.439240136,Middle-aged,Middle-aged,Older,Young,Moderate
44.18126013,26.15682268,28.00970297,Absent,Low,None,12.23569757,48.41324932,Low,Moderate,Absent,Present,Imbalanced,Present,High,0.438782506,Middle-aged,Young,Middle-aged,Young,Low
44.24283828,26.14822442,27.98118812,Absent,Moderate,Low,12.23478548,48.42336634,Low,High,Absent,Present,Balanced,Absent,Low,0.438324875,Young,Young,Middle-aged,Young,Moderate
44.30441644,26.13962616,27.95267327,Present,Moderate,High,12.23387339,48.43348335,None,Moderate,Absent,Present,Imbalanced,Present,Low,0.437867245,Young,Young,Older,Young,High
44.3659946,26.1310279,27.92415842,Absent,Moderate,High,12.2329613,48.44360036,None,None,Absent,None,Imbalanced,Absent,Moderate,0.437409615,Young,Young,Older,Young,Low
44.42757276,26.12242964,27.89564356,Present,High,Moderate,12.2320492,48.45371737,Moderate,Low,Absent,None,Balanced,Present,Moderate,0.436951985,Older,Middle-aged,Middle-aged,Young,Moderate
44.48915092,26.11383138,27.86712871,Present,Moderate,Moderate,12.23113711,48.46383438,High,Low,Absent,Present,Imbalanced,Absent,Low,0.436494355,Older,Young,Older,Young,High
44.55072907,26.10523312,27.83861386,Present,High,High,12.23022502,48.4739514,Moderate,None,Absent,None,Balanced,Present,High,0.436036725,Middle-aged,Young,Older,Young,Moderate
44.61230723,26.09663486,27.81009901,Present,Moderate,High,12.22931293,48.48406841,Low,High,Present,Present,Balanced,Present,Moderate,0.435579095,Older,Middle-aged,Older,Young,High
44.67388539,26.0880366,27.78158416,Absent,Low,None,12.22840084,48.49418542,Moderate,High,Absent,Present,Balanced,Present,Low,0.435121464,Older,Young,Older,Young,Low
44.73546355,26.07943834,27.75306931,Present,Moderate,Low,12.22748875,48.50430243,None,None,Present,Present,Balanced,Present,Moderate,0.434663834,Older,Young,Older,Young,Low
44.7970417,26.07084008,27.72455446,Absent,Moderate,Moderate,12.22657666,48.51441944,None,None,Present,Present,Imbalanced,Present,Moderate,0.434206204,Middle-aged,Middle-aged,Middle-aged,Young,High
44.85861986,26.06224182,27.6960396,Present,High,Low,12.22566457,48.52453645,None,High,Absent,Present,Balanced,Absent,High,0.433748574,Young,Young,Older,Young,Low
44.92019802,26.05364356,27.66752475,Present,High,High,12.22475248,48.53465347,Low,Low,Absent,Present,Imbalanced,Present,Low,0.433290944,Middle-aged,Young,Middle-aged,Young,Low
44.98177618,26.0450453,27.6390099,Present,Moderate,None,12.22384038,48.54477048,None,None,Absent,None,Imbalanced,Present,Moderate,0.432833314,Young,Middle-aged,Middle-aged,Young,High
45.04335434,26.03644704,27.61049505,Absent,High,Moderate,12.22292829,48.55488749,Low,None,Present,Present,Balanced,Absent,Moderate,0.432375684,Young,Young,Older,Young,Moderate
45.10493249,26.02784878,27.5819802,Present,Moderate,Low,12.2220162,48.5650045,None,None,Present,None,Imbalanced,Present,Low,0.431918053,Middle-aged,Young,Middle-aged,Young,High
45.16651065,26.01925053,27.55346535,Absent,Low,None,12.22110411,48.57512151,None,Low,Present,Present,Balanced,Present,Low,0.431460423,Middle-aged,Young,Middle-aged,Young,Low
45.22808881,26.01065227,27.5249505,Present,High,None,12.22019202,48.58523852,None,High,Absent,Present,Balanced,Absent,Low,0.431002793,Middle-aged,Young,Middle-aged,Young,High
45.28966697,26.00205401,27.49643564,Present,High,Low,12.21927993,48.59535554,Moderate,Moderate,Present,None,Balanced,Present,Low,0.430545163,Young,Young,Older,Young,Low
45.35124512,25.99345575,27.46792079,Present,High,None,12.21836784,48.60547255,High,None,Present,Present,Imbalanced,Absent,High,0.430087533,Young,Young,Older,Young,Low
45.41282328,25.98485749,27.43940594,Absent,Moderate,None,12.21745575,48.61558956,None,Low,Absent,None,Balanced,Absent,Moderate,0.429629903,Older,Middle-aged,Middle-aged,Young,High
45.47440144,25.97625923,27.41089109,Absent,High,High,12.21654365,48.62570657,None,None,Absent,None,Balanced,Absent,Low,0.429172273,Middle-aged,Young,Middle-aged,Young,High
45.5359796,25.96766097,27.38237624,Absent,Low,High,12.21563156,48.63582358,Moderate,High,Absent,Present,Imbalanced,Absent,High,0.428714643,Older,Young,Middle-aged,Young,Low
45.59755776,25.95906271,27.35386139,Absent,Moderate,Moderate,12.21471947,48.64594059,Low,None,Present,None,Imbalanced,Absent,High,0.428257012,Young,Young,Older,Young,Low
45.65913591,25.95046445,27.32534653,Present,Low,Moderate,12.21380738,48.65605761,None,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.427799382,Older,Young,Middle-aged,Young,Moderate
45.72071407,25.94186619,27.29683168,Present,Low,High,12.21289529,48.66617462,Moderate,Low,Absent,None,Imbalanced,Absent,Moderate,0.427341752,Young,Young,Middle-aged,Young,Low
45.78229223,25.93326793,27.26831683,Absent,High,Low,12.2119832,48.67629163,Moderate,Low,Absent,None,Imbalanced,Present,Moderate,0.426884122,Older,Young,Middle-aged,Young,High
45.84387039,25.92466967,27.23980198,Present,High,Low,12.21107111,48.68640864,High,None,Absent,Present,Balanced,Absent,Low,0.426426492,Middle-aged,Young,Middle-aged,Young,High
45.90544854,25.91607141,27.21128713,Present,Low,High,12.21015902,48.69652565,None,High,Absent,None,Imbalanced,Present,Low,0.425968862,Young,Middle-aged,Older,Young,Low
45.9670267,25.90747315,27.18277228,Present,Low,None,12.20924692,48.70664266,None,Low,Present,Present,Imbalanced,Absent,Low,0.425511232,Middle-aged,Young,Older,Young,Moderate
46.02860486,25.89887489,27.15425743,Absent,Moderate,Moderate,12.20833483,48.71675968,None,None,Absent,None,Imbalanced,Absent,High,0.425053601,Older,Young,Middle-aged,Young,Moderate
46.09018302,25.89027663,27.12574257,Present,Moderate,Moderate,12.20742274,48.72687669,Low,Low,Absent,Present,Balanced,Present,Low,0.424595971,Older,Young,Middle-aged,Young,Moderate
46.15176118,25.88167837,27.09722772,Absent,Moderate,Low,12.20651065,48.7369937,Low,High,Present,Present,Imbalanced,Present,High,0.424138341,Middle-aged,Middle-aged,Older,Young,Low
46.21333933,25.87308011,27.06871287,Absent,Low,Moderate,12.20559856,48.74711071,Low,Moderate,Present,None,Imbalanced,Present,Moderate,0.423680711,Young,Middle-aged,Older,Young,Low
46.27491749,25.86448185,27.04019802,Absent,Moderate,None,12.20468647,48.75722772,None,Low,Absent,None,Balanced,Present,Low,0.423223081,Middle-aged,Young,Older,Young,High
46.33649565,25.85588359,27.01168317,Present,Low,Low,12.20377438,48.76734473,Low,None,Absent,None,Balanced,Present,Low,0.422765451,Middle-aged,Young,Middle-aged,Young,Low
46.39807381,25.84728533,26.98316832,Present,Low,Low,12.20286229,48.77746175,Low,High,Absent,None,Imbalanced,Present,Low,0.422307821,Young,Young,Middle-aged,Young,Low
46.45965197,25.83868707,26.95465347,Absent,High,Low,12.2019502,48.78757876,High,High,Absent,None,Imbalanced,Present,High,0.421850191,Middle-aged,Young,Middle-aged,Young,High
46.52123012,25.83008881,26.92613861,Absent,Low,None,12.2010381,48.79769577,Low,Moderate,Absent,None,Balanced,Absent,Low,0.42139256,Older,Young,Older,Young,High
46.58280828,25.82149055,26.89762376,Present,High,Moderate,12.20012601,48.80781278,Low,None,Present,None,Balanced,Present,Low,0.42093493,Young,Middle-aged,Middle-aged,Young,Low
46.64438644,25.81289229,26.86910891,Present,High,None,12.19921392,48.81792979,High,Moderate,Present,None,Imbalanced,Present,High,0.4204773,Middle-aged,Young,Middle-aged,Young,High
46.7059646,25.80429403,26.84059406,Absent,High,Low,12.19830183,48.8280468,High,High,Present,Present,Imbalanced,Present,Low,0.42001967,Middle-aged,Young,Older,Young,Low
46.76754275,25.79569577,26.81207921,Absent,Low,Low,12.19738974,48.83816382,High,Low,Absent,Present,Imbalanced,Present,High,0.41956204,Older,Middle-aged,Older,Young,High
46.82912091,25.78709751,26.78356436,Absent,Moderate,None,12.19647765,48.84828083,Moderate,High,Absent,None,Balanced,Present,High,0.41910441,Young,Middle-aged,Middle-aged,Young,Moderate
46.89069907,25.77849925,26.7550495,Present,High,None,12.19556556,48.85839784,None,High,Present,Present,Imbalanced,Present,Low,0.41864678,Older,Young,Older,Young,Low
46.95227723,25.76990099,26.72653465,Present,Moderate,Low,12.19465347,48.86851485,High,Low,Present,Present,Balanced,Absent,High,0.418189149,Young,Young,Middle-aged,Young,Moderate
47.01385539,25.76130273,26.6980198,Absent,Moderate,Moderate,12.19374137,48.87863186,High,High,Present,Present,Imbalanced,Absent,Moderate,0.417731519,Older,Middle-aged,Middle-aged,Young,Low
47.07543354,25.75270447,26.66950495,Absent,High,Moderate,12.19282928,48.88874887,Low,High,Absent,None,Imbalanced,Present,Low,0.417273889,Older,Young,Older,Young,Low
47.1370117,25.74410621,26.6409901,Present,Low,Moderate,12.19191719,48.89886589,Moderate,Moderate,Present,None,Imbalanced,Absent,High,0.416816259,Young,Young,Older,Young,High
47.19858986,25.73550795,26.61247525,Absent,High,Low,12.1910051,48.9089829,None,Moderate,Absent,None,Balanced,Present,Moderate,0.416358629,Middle-aged,Young,Middle-aged,Young,High
47.26016802,25.72690969,26.5839604,Absent,Moderate,None,12.19009301,48.91909991,Moderate,High,Absent,Present,Imbalanced,Present,High,0.415900999,Young,Young,Middle-aged,Young,High
